# Configuration automatically generated by WRITE_CONFIG()
connection usb
#connection (actual) usb
device t7
#device (actual) t7
name "LJ2"
serial "470014042"
samplehz 2000.000000
settleus 100.000000
nsample 128

# Analog Inputs
aichannel 4
ainegative 5
airange 0.100000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000

aichannel 6
ainegative 7
airange 0.100000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000

# Analog Outputs
aochannel 0
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
1.011014e-01	1.011014e-01
